CLI_ID,recommendedLIBELLE1,recommendedLIBELLE2,recommendedLIBELLE3,recommendedLIBELLE4,recommendedLIBELLE5,recommendedLIBELLE6,recommendedLIBELLE7,recommendedLIBELLE8,recommendedLIBELLE9,recommendedLIBELLE10
1490281,EDP EVIDENCE VAPO 100ML,GD JDM4 PAMPLEMOUSSE FL 200ML,VAO CERISE NOIRE 32 LUM4 3ML,LAIT PECHE PN2 FL50ML,ZERO TRACE SPRAY SPF 15 FL150,EDT FRAMBOISE PN 20ML,BAUME LEVR SENT FRAMBOISE 4G,GD GOMMANT VANILLE T200 ML,BRUME VITAMINEE PAMPLEMOUSSE ROSE FL50ML,RIDES+FERMETE NUIT P50ml SV40
13290776,"CRAY KHOL NOIR 81 LUM4 1,3gr",BLUSH SOLEIL CUIVRE ETE14 ANI LU4 2G,EDP COMME UNE EVIDENCE VAPO SAC15ML OS13,BAUME NOUR CACAO FRAMB NOEL COLL 4G,SVC PURETE SH 300 ML,HUILE IP6 FL150 PROT VEG,MASCARA LONG NOIR 01 CN3 8ML,UMAJ LAIT MUGUET FL 200ML,EYE LINER PRUNE06 CN3 2.5ML,CR JR PARF BIO.SPE AC.SENT.50ML
20163348,ILLUMI SCULPT CUIVR/DOR01 ETE14 CN3 15ML,VAO ORANGE SANGUINE 21 LUM4 3ML,FAP ENLUMINEUR B LANC NEIGE 2G LUM 4 VPM,AB SVA JAMBES D'ETE  T75 INTER,GELEE TEINT HALE MAT 02 AX/SO CN3 30ML,RIDES+ECLAT CR NUIT P50ml SV40,CORRECT A LA ROSE TT CLAIR CN3 5G,EYE LINER NOIR CN3 2.5ML,VAO NUANC TURQUOIS 56 IT/CO AOU14 L4 3ML,GLOSS SEXYPULP RGE SOMBRE 04 CN3 10ML
20200041,DOUCH GOMMANTE F ROUGES F200 ML,MASC SEXYPULP NOIR 01 CN3 9ML,"GLOSS PRALINE 71 LUM4 4,5ML",EDP EVIDENCE VAPO 100ML,BLUSH SOLEIL CUIVRE ETE14 ANI LU4 2G,MASCARA VOL VERTIGE BLEU CN3 9ML,SVC PURETE SH 300 ML,LAIT PECHE PN2 FL50ML,SVC PIEDS SOS P ECHAUF T50ML,RIDES+FERMETE NUIT P50ml SV40
20561854,GD JDM4 LAVANDIN DE PROVENCE 200ML,MSQ CRANBERRY BTE CROQUER T50,FDT 0/DEF BEIG200 CLAIR CN3 30,D LOTUS DU LAOS JDM3 200ML,"GLOSS PRALINE 71 LUM4 4,5ML",EAU MICELLAIRE HYDRATANTE 200ML,EDT EVIDENCE HOMME  VAPO 75ML,MASCARA VOL VERTIGE BLEU CN3 9ML,EDT  UN MATIN AU JARDIN  100ML  MUGUET,LAIT COCO PN2 FL50ML
20727324,"PORTE MINE YX ANTHRACITE CN3 0,3G",NACRES LIBRES ROSES CN3 3G,GELEE PROTECTYL APSOL T150,GD 200ML AMBRE NOIR,EDT FRAISE PN2 100ML VPM,GELEE HYDRAT YX HYDRA/VEG 15ML,HUILE IP6 FL150 PROT VEG,MASCARA LONG NOIR 01 CN3 8ML,BAUME LEVR SENT FRAMBOISE 4G,LAIT COCO PN2 FL50ML
20791601,CORRECT A LA ROSE TT CLAIR CN3 5G,CD JDM4 COTON  FL 200ML,"GLOSS PRALINE 71 LUM4 4,5ML",SVC PIEDS BAUME REP T50ml,SVC PURETE SH 300 ML,GEL NETT HYDRA VEG T125ML,UMAJ LAIT MUGUET FL 200ML,EDT FRAMBOISE PN 20ML,GD GOMMANT VANILLE T200 ML,LAIT COCO PN2 FL50ML
21046542,CRAYON LEVR NUDE/BEIGE CN3 1G,FAP DUO 2012 CN3 3G PRUNE ET TAUPE PDRE,RAL BRILL ROSE COCKTAIL32 CN3 3.5G,CREME MAINS FRUITS NOIRS T75 ML,RIDES+ECLAT CR NUIT P50ml SV40,VAO NUANC TURQUOIS 56 IT/CO AOU14 L4 3ML,MASCARA VOL VERTIGE BLEU CN3 9ML,GLOSS SEXYPULP RGE SOMBRE 04 CN3 10ML,MASCARA LONG NOIR 01 CN3 8ML,LAIT COCO PN2 FL50ML
21239163,PC TEINT BEIGE MOYEN  10G LUMINELLE 4,CRAYON SOURCILS CHATAIN CN3 1.1G,CREME MAINS FRUITS NOIRS T75 ML,MSQ CRANBERRY BTE CROQUER T50,CORRECT A LA ROSE TT CLAIR CN3 5G,BAUME TRAD DE HAM P150ml,GEL DEFATIG ENERGIE FL 50ML,MASCARA VOL VERTIGE BLEU CN3 9ML,"FAP MONO 2013 CN3  TAUPE  ROSE  2,5G",RIDES+FERMETE NUIT P50ml SV40
21351166,BAUME NOUR CACAO FRAMB NOEL COLL 4G,VAO NUANC TURQUOIS 56 IT/CO AOU14 L4 3ML,REPACK AR BIEN JOUR RC2 P 50ml,GD JDM LAVANDIN PROVENCE FL 200ML,GELEE HYDRAT YX HYDRA/VEG 15ML,VAO CERISE NOIRE 32 LUM4 3ML,MASCARA LONG NOIR 01 CN3 8ML,LAIT PECHE PN2 FL50ML,"FAP MONO 2013 CN3  TAUPE  ROSE  2,5G",SVC PIEDS SOS P ECHAUF T50ML
